sentenca,categoria
O restaurante tem uma ótima localização com estacionamento amplo.,localização
Lugar bem agradável com uma variedade muito grande de pratos com frutos do mar todos bem servidos e o atendimento satisfatório.,"geral,comida,serviço"
Bom lugar para jantar,geral
"Local aconchegante, antendimento de excelência, pratos diferenciados, tudo limpo e organizado, só elogios para esse lugar.","geral,serviço,comida,ambiente"
Lugar aconchegante e comida excelente!,"geral,comida"
"Se o que se quer é comer um ceviche este é o local correto pra se visitar, tanto no almoço como no jantar.",comida
"É um local sensacional, ambiente calmo e tranquilo.","geral,ambiente"
"Sempre vamos ao banzeiro, ótimo lugar para quem quer comer comidas regionais, que por sinal os pratos são  muito bem preparados.","geral,comida"
Lugar agradável para um bom papo e cerveja gelada!,"geral,bebida"
"Um lugar maravilhoso, muito aconchegante, o atendimento super rápido e eficiente além de ser um ótimo atendimento... A cerveja bem geladinha e as comidas e petiscos são gostosos e bem servidos... E tudo isso por um preço relativamente bom para a localização...","geral,ambiente,serviço,bebida,comida,preço"
Local claro e com música ambiente.,ambiente
"Comida gostosa, atendimento agradável, ambiente aconchegante, preço adequado, local limpo, climatizado, de fácil acesso e com muitas vagas p/ estacionamento.","localização,comida,serviço,ambiente,preço"
"Um local bom, atendimento respeitoso (exceto em datas comemorativas, que dai vira um caos) ótima opção de almoço e janta, a comida é boa.","geral,serviço,comida"
"Se vc quiser se deliciar de uma gostosa picanha, este eh o lugar ideal.",comida
Izaquiel muito cordial e nos atendeu muito bem.,serviço
"Muito boa a comida e o atendimento, repertório bem tranquilo com música ambiente, Ricardo José não deixou faltar nada e tudo sem demora.","comida,serviço,ambiente"
Boa carta de vinhos.,bebida
Para os ribeirinhos amazônicos ‘banzeiro’ é a agitação das águas feita pelos ventos.,outros
Atendimento muito bom Phelipe,serviço
"Um dos melhores flutuantes de Manaus, e cada vez ficando maior, ótimo pra família, amigos ou em casal.",geral
"A msm coisa digo eu neto costa, terça mesmo passei por isso com o mesmo rapaz",outros
"Gostei do ambiente mas a carne achei dura e tive problemas ao efetuar o pagamento ,demorou mt tempo pra ser resolvido .Mas tive boa recomendação ,só não tive sorte.","ambiente,comida,serviço"
"O rodízio é fraco, a qualidade da carne não é das melhores e o salad bar é fraquíssimo....Mais",comida
Denys ótimo atendente,serviço
"Um jantar clássico, autêntica cozinha portuguesa, com maravilhosa sensibilidade ao paladar brasileiro....O cardápio é grande, diversificado e, com certeza, atende a todos os gostos.",comida
Para os ribeirinhos amazônicos ‘banzeiro’ é a agitação das águas feita pelos ventos.,outros
"Atendimento nota 10, lugar bem aconchegante, estacionamento amplo, há recepcionista no local, acessível para cadeirantes!","serviço,ambiente,localização"
"Comprei frango, calabresa, queijo assados, maionese, farofa e arroz.A maionese está com as batatas e cenouras duras, o arroz ainda duro, creio que cruz, peço que melhorem a qualidade porque depois que compramos não podemos ir aí devolver, além de ser chato né.",comida
"Não sei o que fazem com o limão mas pelo gosto é limão do outro dia, muito ruim, fui uma vez pedi o chopp sujo e o gosto do chopp parecia que o limão estava estragado, fui outra vez outro dia pra ter certeza é o mesmo problema, não recomendo de forma alguma.","comida,bebida"
"boa variedade de cervejas e impressionante variedade de cachacas, bons tiragostos, bastante barulhento, atendimento no geral demorado, costuma estar lotado, bom para passar uma noite bebericando e comendo com com amigos","bebida,comida,ambiente,serviço"
"Garçom Jailson super atento conosco, muito obrigada coco bambu pelo atendimento.",serviço
Amamos o atendimento do garcon em treinamentos Wesley super atencioso e paciente com nossas solicitações.Ja pode ser promovido.,serviço
O garçom serviu a salada com a mesma colher...Mais,outros
"Seu cardápio contém os peixes e pratos regionais apresentados de maneira criativa, mediante concepção diferente.",comida
"Casa especializada em comida paraense, onde o maior objetivo é satisfazer os clientes.",comida
"Viemos numa quarta feira e pedimos o menu com entrada, prato principal e sobremesa.",outros
Maitre Hosana atenciosa.,serviço
"Era segunda feira por volta de 20:00 Quando cheguei, o ambiente é amplo, porém as mesas ficam apertadas e para uma segunda havia  bastante gente, muito barulho no lugar, então  fiquei imaginando no final de semana.",ambiente
"A primeira vez que fui ao Banzeiro, buscava um local que oferecesse a culinária local, pois uma prima carioca  estava de passagem pela cidade e nada como um bom peixe para acompanhar uma conversa gostosa.",comida
"Bom atendimento, belos atendentes e ótimo lanche!.","serviço,comida"
"Barzinho situado em lindo casarão histórico, ambiente descontraído e bem frequentado.","localização,ambiente"
Muito agradavel desfrutar  de momentos maravilhosos  tomando um delicioso café ou suco de laranja nesta padaria Eles tambem preparam sanduiches com patês pra lá de especiais!,"bebida,comida"
Coqueiro verde sempre excelente e o Brian Simão presta um atendimento sensacional.,"geral,serviço"
tudo de bom nhami nhami,outros
Criatividade culinária distribuída num cardápio vasto com sabores e aromas do nosso País e um atendimento de uma delicadeza intimista que nos faz se sentir em casa,"comida,serviço"
"Se ainda tiverem coragem de ir,  NUNCA peçam a opção NA CHAPA, pois a maioria dos itens já chegam queimados na sua mesa, é uma fumaceira horrível e vc tem que ficar cuidando toda hora do que está em.cima da chapa para não torrar mais ainda.",comida
Ótimo custo-benefício.,preço
"Ótimo espaço, em eventos temáticos se torna ainda mais bonito.",ambiente
Os funcionários educados e prestativos em acomodar o  nosso grupo que estava comemorando um aniversário surpresa.,serviço
"Um dos melhores rodízios de pizza e massa que já fui, se não o melhor.",comida
"Imenso atraso na entrega, não recomendo!",serviço
"As pizzas são muito boas, com massa fina e boas opções de sabores, das mais tradicionais a algumas mais complexas (uma opção de queijo brie e...Mais",comida
Recomendo.,geral
precisa de uma ótima manutenção pois acho que já está bem gastas... O demais está perfeito.,"ambiente,geral"
"Fomos bem atendidos por uma funcionaria novata, porem muito atenta, totalmente diferente dos desatentos veteranos",serviço
Fui numa festa infantil e fomos muito bem servidos!,serviço
"Café da manhã ótimo, mas o jantar não gostei tanto, os pratos de carne são bem pequenos para o valor.","comida,preço"
"Este restaurante tem como atrativo uma das melhores picanhas no bafo de manaus, tem também um arroz com brócolis que é uma delícia, o atendimento é bem rápido nos dias normais, mas no caso de feriados e datas comemorativas voçe vai pegar uma bela de...Mais","comida,serviço"
ótimo pra tomar um bom chopp e comer petiscos.,"bebida,comida"
Tem grande variedade mas às vezes (nem sempre)  serve alimentos frios e isso é uma grande frustração,comida
"Chopp geladinho, muitooo bom!",bebida
"Comi 3 pratos diferentes em ocasiões diferentes e sempre muito bem servido, com um cozimento impecável e um ótimo serviço, os preços são muito bons!","comida,serviço,preço"
Entrada simples que dá acesso ao lobby com uma grande escada (possuem elevador ) em cima o salão bonito e com vista privilegiada do teatro Amazonas .,"localização,comida"
"São as melhores carnes, e o atendimento de primeiras qualidade.aquela sobremesa de deixar água na boca","comida,serviço"
"O atendimento deixa um pouco a desejar.... Pessoal meio mau humorado e não fazem muita questão de te servir, se estiver com tempo e paciencia vale a pena, a vista para o teatro é...otima das cadeiras ao lado de fora.Mais","serviço,ambiente"
Sugiro melhor organização nos próximo feriados e datas especiais.Mais,serviço
"Antigo canto dos intelectuais hoje é habitada por jovens boêmios, estrangeiros que vêm se aventurar na Selva Amazônica e experimentar um pouco de sua seiva.",outros
"Não tem estacionamento próprio, pastel proposto o de feira pastel servido o de festinha infantil e a massa das pizzas pareciam ser compradas em supermercado.","localização,comida"
De entrada pedi queijo parmesão negro e bolinhos de bacalhau.,outros
Indico com certeza  muito gentil e cordial,geral
Ótima opção para reuniões informais e até mesmo aniversários.,geral
"Atendimento de excelência, variedade de massas de qualidade, o temperinho maravilhoso dos molhos, super recomendo","serviço,comida"
"A sobremesa pedi um petit gateau, bom, porém não pediria novamente e demorou, mas não diminui a nota, pois o atendente foi educado e nos deixou por dentro do ocorrido do atraso, um bom atendimento camufla eventuais acontecimentos.","comida,serviço"
O melhor kikao da cidade!,comida
Ótimo ambiente para eventos especiais como aniversário e confraternização.Recomento atendimento pelo o garçom Ezequiel.,"ambiente,serviço"
"Restaurante flutuante com comida muitooo boa, atendimento excelente, várias opções de drinks, música boa e um banhoi de rio revigorante!","comida,serviço,bebida,ambiente"
Almoço no estilo self-service onde você come bem pagando um preço justo.,"comida,preço"
A matrinxã recheada estava incrível de macia e gostosa e os preços têm ótimo custo-benefício!,"comida,preço"
Normalmente muito movimentado e sem distanciamento social... oferece diversidade de opções.,"ambiente,comida"
Ótimo ovo de Páscoa do coco bambu recomendado pelo garçon,comida
(Tradução do Google) As crianças adquirem o deuce especial enquanto minha esposa adquire uma omelete branca uma veggies e meu ordenou meu ego um hambúrguer mesquite tudo estava delicioso e preços não eram caros  (Original) Kids get the deuce especial while my wife gets a omelette white an veggies and my ordered my self a mesquite hamburger everything was delicious and prices were not expensive,"comida,preço"
Um casarão antigo deu lugar a um restaurante de ambiente acolhedor e cardápio magnífico!!,"ambiente,comida"
"O restaurante tem vista do belo Teatro Amazonas, a infraestrutura é muito boa, com arquitetura bonita.",ambiente
Mas vale a visita para conhecer .,geral
Taco maravilhoso.,comida
"E ainda tem uma brinquedoteca espetacular, por isso as crianças adoram ir lá.",ambiente
Fui comemorar uma data especial.,outros
"O salão é amplo, bonito e é ótimo p/ grupos grandes.",ambiente
Estive na cachaçaria para happy hour promovido por um amigo de S. Paulo quando estive em Manaus a trabalho.,outros
Materia prima de primeira qualidade.,geral
a entrda ade linguicas tmbm muito gostosa e a porçao do peixe muito bem servida.o atendimento foi meio desatento  mas local...Mais,"comida,serviço"
"Provamos a formiga de entrada , bem diferente mas não comeria novamente.",comida
"Peoxe assado delicioso, Tem  estacionamento ... É um lugar agradável e familiar .","comida,localização,geral"
"Corresponde à habitual qualidade da comida, num ambiente agradável com música ao vivo e num volume adequado.","comida,ambiente"
"Comida cara e ruim, serviu coxão duro como picanha, insatisfação total.","comida,preço"
"Comida muito boa, ambiente rústico e muito agradável, ótima pedida pra happy hour, às vezes deixa a desejar no atendimento.","comida,ambiente,serviço"
O garçom Celso foi muito atencioso e é um excelente fotógrafo!,serviço
Estacionamento fácil na rua em frente pelo menos de noite.,localização
"Não gostei do lugar atendimento muito demorado , som alto demais não dar conversar , o rapaz que fica na entra e na saída super mal educado, e outra muito caro as coisas por lá",serviço
"Com uma boa estrutura e excelentes pistas para jogar, conta também com sinuca, vídeo game e outros jogos.",ambiente
Philippe  muito atencioso  e educado,serviço
"Topper Ambiente agradável, musica boa.",ambiente
"O estabelecimento impressiona na variedade de produtos do empório... A história da cachaçaria já é motivo de brindar uma boa cachaça, pratos elaborados com muito requinte e sabor.","comida,bebida"
Uma das melhores hamburguerias de Manaus.,geral
Ótimo trabalho,geral
"Gostamos muito do ambiente e pela quantidade de pessoas a servir, a comida veio rápido, muito saborosa e o atendimento do garçom Osmar foi excelente, tentarei nas próximas idas ao local, ficar nas mesas servidas por ele.","ambiente,comida,serviço"
"Não deixe de provar o hambúrguer de tambaqui, o buruti real e os milk shakes.","comida,bebida"
"Comida deliciosa e ótimo atendimento do Edson Jr. Restaurante detentor de notas únicas e individualidade fenomenal, seja em gastronomia da terra quanto do mar.","comida,serviço"
Muito bom dia de sexta feira música ao vivo,ambiente
Asinhas deliciosas!!!,comida
"O serviço é de alta qualidade, os petiscos atendem a todos os gostos e o som ambiente proporciona encontros agradáveis.","serviço,comida,ambiente"
"Excelente experiência no Restaurante Coco Bambu Manaus, comida excelente, garçon Venicius muito prestativo, e som ao vivo de muita qualidade.","geral,comida,serviço,ambiente"
"Atendimento excelente e uma ótima casa para se divertir entre amigos, e  claro, fazer novas amizades!","serviço,geral"
Cerveja gelada (não tão em conta) e músicos bons que sempre estão tocando por lá.,"bebida,ambiente"
"Ela está presente em dezenas de pratos doces e salgados, do café da manhã ao jantar, e no Banzeiro a fruta aparece em forma de um delicado creme, maçaricado ao estilo brullè e pode ser acompanhado com sorvete de cumaru, a baunilha amazônica.",comida
O lugar é ótimo para quem quer apreciar a natureza tomar um bom banho de rio e curtir o por do sol que o lugar proporciona.,ambiente
Estacionamento  com manobrista.,localização
Ao lado do teatro amazonas que emoldura produtos de qualidade e bom preparo.,"ambiente,comida"
"Contudo, tem várias opções saborosas e bom custo-benefício para rodízio ?","comida,preço"
"A carta de vinhos é uma enganação, nunca tem o que você escolhe, só o mais caro.",bebida
"Pedi calderado de tambaqui,  chego no caldo muito fino, e nao muito para 2  pessoas, o piráo era farinha mohlado, parece nao eera feito com na caldo, horrivel, o vinegreite parece uma salada de tomate, ceballa, pedaacoes grandes sim sabor, lencoies de papel pequeno,  Servicio...Mais",comida
Ademais uns tira-gostos maravilhosos.,comida
"Tem uma cachaça de uva, maravilhosa !",bebida
As mesas ficam distribuídas em quartos.,outros
Mammamia é uma casa de rodízio ótima me senti muito bem ainda mais com a recepcionista maravilhosa Nathalia que vocês têm muito simpática educada uma pessoa muito receptiva .,"geral,serviço"
"Excelente atendimento, culinária impecável, ambiente bonito, apesar de não ser climatizado o clima ambiente é agradável, quanto aos preços.., estão na média das peixarias de Manaus, com exceção das sobremesas que está fora da realidade, uma fatia de pudim a R$ 15 reais acho muito caro, sem contar que são poucas opções de sobremesa, um outro ponto que tenho que parabenizar é o fato de disponibilizarem um lugar agradável para aguardar enquanto não dispõem de mesas desocupadas, muito bem organizado","serviço,comida,ambiente,preço"
"A qualidade já reconhecida dos cafés da unique, preparados por um bom Batista, aumentam a percepção sensorial.",bebida
"Excelente restaurante, variedade, sabor típico regional com toques internacionais.","geral,comida"
Atendimento ´rápido e preciso Boa refrigeração.,"serviço,ambiente"
A partir de indicação daqui decidimos por um restô Português e não poderia ser melhor .,geral
"Tem um senhor, sempre de preto, um japonês, que trabalha lá, um senhor muito educado,",serviço
"Atedimento excelente, em especial gaçom senna, mostrou pra mim que valeu cada minuto nesse restaurante, vcs que querem um bom atedimento proucure o garçom senna no Coco Bambu nota 1000 voltarei com toda certeza.",serviço
Excelente atendimento  Eu e minha família fomos muito bem atendidos Parabéns a recepção Tive um ótimo atendimento pelo Garson Bruno Comida maravilhosa e ainda tivemos uma mesa ótima escolhida pela recepcionista joici que também está de parabéns Obrigado coco bambu...,serviço
Muito agradável com um dos melhores rodízios de sopas de Manaus,comida
Lugar agradável porém difícil arrumar um estacionamento no horário do almoço nos dias úteis aceitam o ticket alimentação,"geral,localização"
"Ambiente familiar, porém restaurante não oferece muitas opções no cardápio, preço um pouco caro, estacionamento bacana","ambiente,comida,preço,localização"
Este é um ótimo começo para uma noite épica em Manaus.,geral
Recomendo nos dias menos movimentados.,outros
"Rever os amigos que moram fora da cidade, tivemos uma ótima experiência , excelente atendimento pelo Rodrigo Uchôa.","geral,serviço"
"As pizzas do rodízio tem sabores sensacionais mas as fatias deixam a desejar pois em relação a outras pizzarias, as fatias das pizzas são minúsculas apesar do preço ser bem mais caro.","comida,preço"
"Refeição excelente e saborosa, cardápio variado, atendimento impecável, estacionamento amplo.","comida,serviço,localização"
"É preciso prestar atenção nos preços, por que tem pratos que são um absurdo.",preço
"O ambiente é um casarão antigo do ciclo da borracha, com a vista pro poético Teatro Amazonas.",ambiente
"Boa opção para momentos informais, em família ou com amigos.",geral
"Meus 2 filhos pequenos,  meu marido e eu fomos, no domingo de Páscoa, almoçar,  pois queríamos degustar delícias amazônicas.",comida
"A carne de sol, sem gosto e as postas finas demais; maionese horrível, baião sem tempero.",comida
"Lá você degusta os principais peixes regionais como tambaqui ou o pirarucu, mas com uma grande diferença das outras peixarias tradicionais, a apresentação, os temperos utilizados, deixando...Mais",comida
"O meu preferido é o bowl tirashi salmão, muito bem servido e é uma delícia.",comida
O melhor kikao de Manaus,comida
"Como sempre, fui muito bem atendido na Búfalo, mesmo atualmente que estão com promoção de 2ª a 6ª, o padrão da comida e atendimento continuam os mesmos Acho que poderia ter mais opção na tábua de frios para do salad bar, mas isso seria só...Mais","serviço,comida"
"Recomendo está Churrascaria, atendimento com excelência, aparador completo e variado, churrasco de alto nível com carnes nobres e complementos deliciosos.","geral,serviço,comida"
"de época, uma vez que é regado com temáticas sazonais com apresentações musicais, aí quando você  pensa que acabou vem um som ao vivo com excelente repertório musical.",ambiente
Estar em Manaus e não desfrutar dos sabores do Alentejo é quase uma heresia!!!,geral
"varias opções de churrascos, comida boa, ambiente agradável e familiar, tem área para criança (pequena, mais tem)","comida,ambiente"
O atendimento do Stivem e do Robson fez total diferença na nossa noite!!!,serviço
Tem um estacionamento próprio.,localização
Loval familiar e muito agradável,geral
"Amo comida mexicana, e a de vocês estava saborosíssima, o guacamole maravilhoso... Parabéns ?",comida
"Chegando já deparei com um estacionamento amplo, o ambiente é bastante regional caboclo, com mesas e cadeiras de madeira, super decorado com imagens de animais silvestres, o cardápio e bastante variado, local limpo e bastante ventilado, vale a Pena ir com a família e amigos.","localização,ambiente,comida"
"Café da manhã excepcional, muito bom, todos os itens como preço justo","comida,preço"
Para os ribeirinhos amazônicos ‘banzeiro’ é a agitação das águas feita pelos ventos.,outros
"Playlist sensacional, ambiente agradável e atendimento excelente.","ambiente,serviço"
"Instalações de bom gosto, estacionamento exclusivo com opção de manobrista, excelente localização - bairro comercial nobre - estrutura de atendimento bem organizada, pessoal jovem e competente, inclusive o chef, culinária bem elaborada e prática, mesclando culinária italiana e francesa - peixes, inclusive regional nobre (filé...Mais","ambiente,localização,serviço,comida"
"Ótimo lugar para um café e conversa casual, ambiente extremamente confortável e atendimento não deixa a desejar.","bebida,ambiente,serviço"
Comida sem grande expressividade.,comida
"Local agradável, com bom receptividade e preço acessível ?eu e minha família não temos do que nos queixa","geral,preço"
Muito boa ketherin,serviço
"Toda visita que faço ao Banzeiro parece ser a primeira, sempre me surpreendo comi os sabores e execução perfeita dos pratos.",comida
Pessimo .barrulho de adolecentes sem respeito nenhum com outros clienres,ambiente
"Peixe sem suculência e seco, baião com arroz de qualidade ruim, arroz branco ruim, enfim, era segunda feira e não sei o que houve com a cozinha.",comida
"Pizza de ótima, atendende excelente Rosalinda","comida,serviço"
"Comida excelente, porém o atendimento pós covid me surpreendeu ( não sei se era garcon novato) enfim não tive uma boa experiência, não me senti tendo o padrão de atendimento pelo qual paguei.","comida,serviço"
"Apesar de no dia atenderem apenas através de reservas, ficaram sensibilizados com a forma que fomos tratados numa data tão importante e acabaram nos aceitando.",serviço
Carne de sol a melhor the best,comida
"Sardinha fresca , delícia",comida
"Tudo gostoso, muito rápido, estacionamento amplo, ótimo atendimento de todos os funcionários, principalmente do garçom Nayron e do Chef Raimundo, sempre perguntando se estava tudo certo","comida,localização,serviço"
"Eu sou frequentador constante do Abaré SUP, um lugar maravilhoso com uma comida divina.","geral,comida"
Bom apetite!,comida
"Em abril de 2017, após um cruzeiro inesquecível pela região de Anavilhanas com o IBEROSTAR Grand Amazon, escolhemos o bistrô Belle Époque, localizado no andar térreo do shopping Ponta Negra em Manaus, para encerrar nossa estadia gastronômica no Amazonas.",outros
Topzao super legal só acho que deveria baixar o preço do frango assado e do peixe assado afinal nem estamos tão longe de Manaus ?????????,preço
"O Coco Bambu Manaus, está dentro dos padrões de qualidade da rede, sou um frequentador em Fortaleza e a unidade de Manaus está perfeita, com um cardápio de 1a qualidade e vasta variedade de pratos; Além de que, o requinte e sofisticação na elaboração de...Mais","geral,comida"
"Quanto aos preços, são exagerados pela quantidade , acho que poderia ser um pouco menor.",preço
"Atendimento excelente  Garçons Rafael e Senna muito atenciosos, atendimento nota 1000...",serviço
Carta de vinhos de primeira linha.,bebida
Atendimento do garçom Neto excelente.,serviço
Para quem gosta da culinária portuguesa a visita eh obrigatória.,comida
"Há exatos 8 anos comecei a frequentar o restaurante e NUNCA fiquei a desejar com a comida e o serviço, pelo contrário, sempre tenho momentos maravilhosos lá!","comida,serviço"
"Uma delícia, recomendo essa opção de prato, mas ela é mais para os amantes de queijo.",comida
"Todas vezes tive problemas com nota fiscal, como o trabalho reembolsa preciso dela.",serviço
"No assunto comida boa, eu encontrei o lugar perfeito.",comida
Não justifica essa nota !,outros
"Atendimento é sempre maravilhoso, COMIDA NEM SE FALA, Chopp sempre gelado e com a caneca geladerrima.","serviço,comida,bebida"
Experiência incrível para um ótimo final de tarde.,geral
"Alberto muito recepcionista, simpático e atende super bem!",serviço
"Local possui estacionamento amplo e ainda conta com brinquedoteca a um custo de R$ 10,00.",localização
"Chop bem gelado, petisco nota mil.","bebida,comida"
Tem estacionamento próprio.,localização
Custo benefício interessante pois deram uma melhorada boa.,preço
Foi o lugar em que escolhemos pra comemorar essa data especial!,outros
Não se preocupe muito melhor fora,outros
"Comida excelente, drinques espetaculares.","comida,bebida"
Porém a entrada do restaurante é uma escada estreita e se for com crianças terá que carregar o...Mais,localização
"O Garçom Antonio que serviu nossa mesa muito atencioso, educado e sempre atento aos detalhes foram momentos maravilhosos.",serviço
Muiti legal e acongecante,outros
"Após um dia de trabalhos e conhecimentos adquiridos no nosso evento científico, viemos jantar Barolo.",outros
"além de ser um flutuante no meio do rio negro, você pode praticar SUP e ainda ver um belo por-do-sol!",ambiente
no mais tudo bem.,outros
"Por exemplo: banheiros insuficientes, e precários; precisa melhorar a limpeza do ambiente, afinal é um local que serve alimentos; Um fraldário mais respeitoso às crianças pois o público é grande.",ambiente
Coisa mais bonita que vi,ambiente
"O cardápio contempla carne, peixe, frango, camarão, lagosta em formatos individuais e para até 3 ou 4 pessoas: a maioria saborosíssimos!!",comida
"(Isso falando de almoço, pois é o único horário que conheço do estabelecimento)",outros
Para um bom bate-papo.,outros
"E a comida NÃO faz mal, como em um concorrente próximo.",comida
"Estivemos no coco bambu para conemorarmos o aniversário de uma amiga,  fomos atendidos pelo garçom  Rodrigo Uchoa excelente,  rapido, ótima memória rsrs, prato Praia de Olinda  estava delicioso, ambiente agradável e aconchegante.","serviço,comida,ambiente"
"(Tradução do Google) Boa comida, bom preço, bons servidores  (Original) Good food, good price, good servers","comida,preço"
Não possui estacionamento próprio mas as ruas usadas para isso são seguras além de ficar em uma avenida de facil acesso av.,localização
Carta de vinhos muito boa também.,bebida
"O jantar foi ótimo e o ambiente é bastante agradável, só o meu suco de manga e de outras duas amigas que estava muito estranho, não sabíamos se era um adoçante ruim ou uma manga podre.","geral,ambiente,bebida"
"Lugar tranquilo, música boa, garçom Mauro muito atencioso, gente boa e sempre traz o nosso chopp bem geladinho!!","geral,ambiente,serviço,bebida"
Ótimo local para um happy hour com amigos.,geral
"Atendimento muito bom, cômoda impecável.",serviço
Lugar aconchegante para ir com família ou amigos pra hapy hour.,ambiente
Um dos melhores hambúrguers que comi em Manaus.,comida
"Restaurante muito bom, comida maravilhosa, ótimo atendimento, possui estacionamento próprio e tem o preço bom para o nível do restaurante.","geral,comida,serviço,localização,preço"
"Ambiente agradável, pé direito alto, situa-se no segundo andar do prédio.",ambiente
"Lugar super aconchegante, a comida maravilhosa, os atendentes têm uma energia muito boa, como a Nathasha por exemplo que está sempre sorrindo pros clientes e nos faz sentir bem, assim também a recepcionista Nathalia que nos recebe com todo carisma, excelente!","ambiente,comida,serviço"
"O restaurante fica no andar superior de um prédio antigo, mas com elevador para pessoas com dificuldade de locomoção e ambiente rústico mas chique, sanitários novos.","localização,ambiente"
Ótimo lugar bom atedimento,"geral,serviço"
Tem estacionamento próprio.,localização
Foi no Caxiri que conheci a deliciosamente maravilhosa cachaça de jambu.,bebida
"Excelente comida, atendimento da Ketherin muito bom, educada e prestativa.","comida,serviço"
"Sempre lotado, Mas as gordelicias são muoto boas.",ambiente
"Ambiente super agradável, ótimo para a família e amigos e as crianças claro, por conta dos brinquedos (pula pula, escorredor inflável).",ambiente
"Também tive a oportunidade de degustar o Fillet Minhnon a Parmegiana, muito bom!",comida
Muito bom atendimento do Felipe muito bom que Deus abençoe sempre este lugar e seus funcionários tops,serviço
"Se você vai apenas pela pizza recomendo muito pois a qualidade da pizza é excelente, mas se você vai para comer sushi eu não recomendaria, pois cheguei às 19H e demoraram uma eternidade para começar a sevir e ainda era sushi do dia anterior com a alga incomestível além de ter apenas 4 opções de sushi foi uma decepção total dinheiro jogado no lixo.","comida,serviço"
"Estão com ótimas promoções e o happy hour bem tendencioso, além da música ao vivo!","preço,ambiente"
Só falta uma brinquedoteca para atender melhor famílias com crianças.,ambiente
Pode comer o tanto do rodizio que quiser que ja está incluso nos 35.. ótimo comemoração de casamento a dois ou em família.. excelente..,geral
"Um pouco mais de atenção aos itens de maior rotatividade solucionaria, o atendimento dos garçons é bem satisfatório.",serviço
"Dos pratos o único que ficou a desejar foi o Picadinho coco bambu, infelizmente prato sem graça, sem sal, e sem vida kkkkkkk.",comida
"A cachaçaria já foi boa, mas hoje não é mais, depois que a vigilância sanitária encontrou carne estragada no local, nunca mais tive coragem de comer lá.","geral,comida"
Dica: Camarão Imperial e sobremesa a famosa cocada de forno com sorvete e torta de banana.,comida
Flutuante fantástico e uma Peixada inabalável,"geral,comida"
Melhor T-bone da cidade.,comida
Vale a pena uma visita para que tirem as próprias conclusões da comida.,geral
"Ambiente típico e regional, confortável, com estacionamento próprio e bem localizado.","ambiente,localização"
Top a noite caribenha.,outros
Comemos o Camarão internacional e de sobremesa uma cartola maravilhoso.,outros
"Pecimo lugar, uma verdadeira baderna.",geral
"Comida boa... ambiente muito iluminado... acústica prévia ser melhorada,Pois mesmo em conversas baixas, o som acaba sendo ficando elevado...","comida,ambiente"
Td perfeito,geral
"Atendimento instalações e cárdapio excelentes, o estacionamento também facilita muito, só não levou a nota máxima porque acabar o chopp as 21h de uma sexta feira é inexplicável",outros
"Atendimento do Rodrigo uchoa muito bom, atencioso.",serviço
"Em plena segunda-feira a unidade manauara estava com suas mesas totalmente ocupadas, demonstrando o prestígio junto a locais e turistas.",outros
"Funcionáros anteciosos, especialmente a funcionária Belém.",serviço
Boa experiência...,geral
"Atendimento por Whatsapp horrível, precisei insistir pra concluir o pedido, pois a atendente Janaína se esforçou pra tornar o atendimento desagradável., Foram vinte e cinco minutos com longas esperas pra receber cada resposta.",serviço
ameeiii ...lugar cheio de lembranças dos grandes intelectuais desse Estado..,outros
"Espero, numa próxima oportunidade, reecontrá-los promovidos em suas tarefas, pois todos têm potencial para essa chance...Mais",outros
"1 obs, o barulho da praça e do posto (ás vezes alguém leva um paredão) é muito incômodo :/ mas acho q nova unidade eles não terão que lidar com esses problemas",ambiente
"Os garçons muito atenciosos, mas poderia haver mais, já que é rodízio e se passa um tempo a mais esperando uma nova rodada.",serviço
Atendimento muito bom pelos garçons Senna e Bruno e o gerente Guerra.,serviço
"Estive sozinho no Barollo na noite de 14/05 para jantar e tive uma experiência muito boa, mesmo não estando acompanhado.",geral
"Lugar com atendimento muito bom, o café da manhã ótimo.","serviço,comida"
(Original) Just a very regular and average burger ?.,outros
"Nos dias lotados, o atendimento pode demorar um pouco, mas quando o pedido chega, faz valer a pena a espera.",serviço
Voltarei com total certeza.,geral
cats a mais antiga e tradicional de manaus <3,geral
A mesa é reposta constantemente o que possibilita uma café da manhã generoso.,comida
"Parabéns Coco Bambu pelo profissional exemplar, na próxima gostaríamos de ser atendidos por ele Novamente.",serviço
"Ponto negativo de observação: lugar médio para o quantitativo de mesas, o que o deixa sem espaço para melhor circulação.",ambiente
Apenas o local é ruim porque não tem espaço suficiente pros clientes.,ambiente
Lugar limpo bonito e comida saborosa recomendo,"ambiente,comida"
Agora com nova instalação na Max Teixeira com amplo conhecimento e uma comida boa !,comida
Casario antigo reformado.,ambiente
"Lugar agradável, com estacionamento acessível, tempo de espera razoável, preço padrão, atendimento com com eficácia, pratos atrativos, espaço infantil, banheiros higienizados.","geral,localização,preço,serviço,comida,ambiente"
"Especial menção ao Garçon KAIQUE ALVEZ, que é nota dez!",serviço
Infelizmente nosso coco bambu já foi melhor.,geral
Uma das melhores stickhause tematicas,outros
"Sempre antes de viajar, gosto de espiar as atrações do meu próximo destino aqui no Trip.",outros
"excelente atendimento, td maravilhoso parabéns",serviço
Ótimo lugar para happy hour!,geral
Suchy deliciosos,comida
